id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
39648,39976a32-1b3d-4621-9118-60ff54f9d8b5,"",,,Hawaii,1252,biodiversitario,Mauricio Rivera-Correa,2011-11-20 21:49:29 UTC,2019-09-02 00:17:45 UTC,casual,,http://www.inaturalist.org/observations/39648,https://static.inaturalist.org/photos/65952/medium.png,,"","",3,0,false,,"Colombia, Antioquia, Girardota,Vereda El Palmar",6.28192,-75.42962,,,,,,,open,false,,,Bolitoglossa vallecula,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
45182,b187e46d-9926-4ea1-8776-d3e6baaba860,2011-12-27,2011-12-27,,Hawaii,1252,biodiversitario,Mauricio Rivera-Correa,2011-12-30 21:13:37 UTC,2017-12-12 13:00:58 UTC,casual,,http://www.inaturalist.org/observations/45182,https://static.inaturalist.org/photos/72967/medium.png,,"",Juvenil,1,0,false,,"Colombia: Antioquia: Bello: Vereda Las Huertas, Corregimiento de San Félix, Quebrada El Hato, Truchera San Félix. 2660 m",,,,,,,,,,false,,,Bolitoglossa vallecula,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
39403814,c2bbac33-3e58-472f-9993-16c5239affcf,2018/12/18 11:05 AM -0500,2018-12-18,2018-12-18 16:05:00 UTC,Bogota,500735,khristimantis,Khristian Venegas Valencia,2020-03-01 14:49:32 UTC,2021-12-06 17:59:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39403814,https://inaturalist-open-data.s3.amazonaws.com/photos/62511342/medium.jpg,,"","",2,0,false,,"Antioquia, CO",6.0700825034,-75.2724702942,,,,,31362,obscured,open,true,,,Bolitoglossa vallecula,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
54947418,306288f7-cc14-4639-9666-1d2998e61c8a,2018/07/27 2:24 PM -0500,2018-07-27,2018-07-27 19:24:00 UTC,Bogota,1034753,andres_forero,Andrés Mauricio Forero Cano,2020-07-31 17:19:52 UTC,2021-12-06 17:59:38 UTC,research,,https://www.inaturalist.org/observations/54947418,https://static.inaturalist.org/photos/87459388/medium.jpg,,"","Bolitoglossa vallecula (Brame & Wake, 1963)
Salamanda delgada
Carolina del Principe",2,0,false,,"Carolina, Antioquia, Colombia",6.729806628,-75.2835137593,1486,,,,1486,,open,false,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
58424366,c53b63c7-4e4e-4e6a-bd41-5f764df6a03a,2020/09/02 2:21 PM -0500,2020-09-02,2020-09-02 19:21:00 UTC,Bogota,500735,khristimantis,Khristian Venegas Valencia,2020-09-03 16:09:02 UTC,2021-12-21 04:43:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58424366,https://inaturalist-open-data.s3.amazonaws.com/photos/93276433/medium.jpg,,"",Bolitoglossa aff. vallecula,3,0,false,,"Rionegro, Antioquia, Colombia",6.1789091666,-75.4789345733,,,,,,,open,false,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
58424368,0a2b0695-9afa-4835-9da9-36131543fa2a,2020/09/02 2:00 PM -0500,2020-09-02,2020-09-02 19:00:00 UTC,Bogota,500735,khristimantis,Khristian Venegas Valencia,2020-09-03 16:09:02 UTC,2023-02-03 11:09:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58424368,https://inaturalist-open-data.s3.amazonaws.com/photos/93276416/medium.jpg,,"",Bolitoglossa aff. vallecula,1,0,false,,"Antioquia, CO",6.0185398001,-75.4297661826,,,,,31362,obscured,open,true,,,Bolitoglossa vallecula,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
60489514,8396b85c-4401-4b55-abb2-2c63f55876b6,2020/09/14,2020-09-14,,Bogota,1120970,lidatru,Lida Garcia Trujillo,2020-09-23 04:06:57 UTC,2024-04-13 14:57:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/60489514,https://inaturalist-open-data.s3.amazonaws.com/photos/96730334/medium.jpg,,"",,1,0,false,,"La Unión, Antioquia, Colombia",5.973839,-75.3609759,711,,,,711,,open,false,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
71566769,752ee4cb-dd71-43e7-8545-8369d2e4d820,2021/03/11 9:12 PM -0500,2021-03-11,2021-03-12 02:12:00 UTC,Bogota,500735,khristimantis,Khristian Venegas Valencia,2021-03-19 19:41:03 UTC,2021-12-07 16:29:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71566769,https://inaturalist-open-data.s3.amazonaws.com/photos/116537747/medium.jpg,,"","",3,0,false,,"Antioquia, CO",6.9361964079,-75.5688099138,,,,,31337,obscured,open,true,,,Bolitoglossa vallecula,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
103656203,2c090775-6f4d-4915-a5f7-905724fb2b9e,2021/12/16 12:40 PM -0500,2021-12-16,2021-12-16 17:40:00 UTC,Bogota,348994,julianbiol,Julian Alzate,2021-12-25 23:15:43 UTC,2026-03-13 18:45:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103656203,https://inaturalist-open-data.s3.amazonaws.com/photos/173536416/medium.jpg,,"","",4,0,false,,"Yarumal, Antioquia, Colombia",6.8337945043,-75.4891869184,1951,,,,1951,,open,false,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
103694610,2b8ee9b5-4442-48f4-80a2-fa56a35002e1,2021/12/22 2:47 PM -0500,2021-12-22,2021-12-22 19:47:00 UTC,Lima,3453110,edwinmunera,Edwin Múnera Chavarría,2021-12-26 16:52:18 UTC,2021-12-30 05:30:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103694610,https://inaturalist-open-data.s3.amazonaws.com/photos/173610161/medium.jpeg,,"","",2,0,false,,"Santa Rosa de Osos, Antioquia, Colombia",6.8179366667,-75.5942233333,,,,,,,open,false,,,Salamandra magra,Bolitoglossa vallecula,Yarmal Mushroom-tongue Salamander,Amphibia,27015
